participante,item,pronome,referencia,tempo.adverbio
1a,i_17,s,cor,755
1a,i_3,s,cor,527
1a,i_19,p,ind,562
1a,i_40,p,cor,569
1a,i_21,s,cor,625
1a,i_36,s,ind,538
1a,i_29,s,ind,490
1a,i_39,s,ind,540
1a,i_20,s,cor,531
1a,i_24,p,cor,610
1a,i_14,p,cor,495
1a,i_31,p,ind,447
1a,i_23,s,cor,501
1a,i_15,p,cor,673
1a,i_42,p,cor,682
1a,i_4,p,ind,509
1a,i_2,p,ind,475
1a,i_41,s,cor,443
1a,i_18,s,cor,658
1a,i_8,p,cor,406
1a,i_33,s,ind,372
1a,i_34,s,ind,333
1a,i_5,p,ind,383
1a,i_37,p,ind,381
1a,i_28,s,ind,641
1a,i_27,s,ind,337
1a,i_12,p,ind,541
1a,i_9,p,cor,505
2a,i_34,s,ind,722
2a,i_36,s,ind,448
2a,i_4,p,ind,533
2a,i_20,s,cor,468
2a,i_24,p,cor,713
2a,i_14,p,cor,1109
2a,i_42,p,cor,555
2a,i_40,p,cor,501
2a,i_39,s,ind,905
2a,i_8,p,cor,591
2a,i_23,s,cor,517
2a,i_29,s,ind,521
2a,i_41,s,cor,473
2a,i_15,p,cor,527
2a,i_33,s,ind,446
2a,i_2,p,ind,663
2a,i_21,s,cor,432
2a,i_12,p,ind,411
2a,i_37,p,ind,401
2a,i_5,p,ind,453
2a,i_3,s,cor,449
2a,i_28,s,ind,517
2a,i_19,p,ind,483
2a,i_27,s,ind,408
2a,i_9,p,cor,460
2a,i_17,s,cor,448
2a,i_18,s,cor,552
2a,i_31,p,ind,646
3a,i_8,p,cor,1334
3a,i_40,p,cor,638
3a,i_36,s,ind,1197
3a,i_19,p,ind,761
3a,i_41,s,cor,1217
3a,i_21,s,cor,790
3a,i_33,s,ind,653
3a,i_31,p,ind,480
3a,i_23,s,cor,520
3a,i_42,p,cor,644
3a,i_3,s,cor,675
3a,i_39,s,ind,705
3a,i_9,p,cor,529
3a,i_37,p,ind,781
3a,i_27,s,ind,573
3a,i_14,p,cor,1012
3a,i_15,p,cor,602
3a,i_2,p,ind,469
3a,i_34,s,ind,399
3a,i_17,s,cor,411
3a,i_4,p,ind,477
3a,i_20,s,cor,716
3a,i_12,p,ind,929
3a,i_29,s,ind,506
3a,i_5,p,ind,589
3a,i_28,s,ind,553
3a,i_24,p,cor,648
3a,i_18,s,cor,473
4a,i_15,p,cor,1132
4a,i_3,s,cor,1934
4a,i_29,s,ind,1250
4a,i_34,s,ind,808
4a,i_39,s,ind,1309
4a,i_4,p,ind,686
4a,i_17,s,cor,723
4a,i_41,s,cor,539
4a,i_37,p,ind,523
4a,i_14,p,cor,633
4a,i_20,s,cor,460
4a,i_42,p,cor,674
4a,i_9,p,cor,510
4a,i_24,p,cor,666
4a,i_31,p,ind,550
4a,i_21,s,cor,454
4a,i_5,p,ind,604
4a,i_12,p,ind,1076
4a,i_23,s,cor,454
4a,i_18,s,cor,445
4a,i_27,s,ind,947
4a,i_19,p,ind,505
4a,i_33,s,ind,545
4a,i_40,p,cor,654
4a,i_28,s,ind,474
4a,i_2,p,ind,633
4a,i_8,p,cor,674
4a,i_36,s,ind,361
5a,i_37,p,ind,455
5a,i_5,p,ind,496
5a,i_19,p,ind,572
5a,i_17,s,cor,500
5a,i_28,s,ind,923
5a,i_29,s,ind,661
5a,i_39,s,ind,486
5a,i_23,s,cor,565
5a,i_40,p,cor,415
5a,i_20,s,cor,367
5a,i_21,s,cor,543
5a,i_34,s,ind,778
5a,i_31,p,ind,614
5a,i_3,s,cor,496
5a,i_4,p,ind,550
5a,i_9,p,cor,465
5a,i_12,p,ind,781
5a,i_41,s,cor,838
5a,i_33,s,ind,394
5a,i_42,p,cor,377
5a,i_36,s,ind,746
5a,i_8,p,cor,462
5a,i_18,s,cor,477
5a,i_14,p,cor,558
5a,i_2,p,ind,519
5a,i_27,s,ind,545
5a,i_24,p,cor,486
5a,i_15,p,cor,436
6a,i_31,p,ind,898
6a,i_36,s,ind,792
6a,i_33,s,ind,504
6a,i_9,p,cor,548
6a,i_24,p,cor,554
6a,i_39,s,ind,444
6a,i_15,p,cor,342
6a,i_42,p,cor,524
6a,i_12,p,ind,322
6a,i_41,s,cor,368
6a,i_2,p,ind,419
6a,i_19,p,ind,481
6a,i_5,p,ind,418
6a,i_27,s,ind,593
6a,i_18,s,cor,329
6a,i_34,s,ind,330
6a,i_8,p,cor,336
6a,i_14,p,cor,324
6a,i_20,s,cor,273
6a,i_23,s,cor,280
6a,i_29,s,ind,290
6a,i_4,p,ind,447
6a,i_37,p,ind,269
6a,i_40,p,cor,259
6a,i_21,s,cor,291
6a,i_3,s,cor,768
6a,i_28,s,ind,295
6a,i_17,s,cor,289
7a,i_17,s,cor,935
7a,i_42,p,cor,912
7a,i_9,p,cor,627
7a,i_2,p,ind,932
7a,i_14,p,cor,635
7a,i_8,p,cor,573
7a,i_27,s,ind,422
7a,i_41,s,cor,650
7a,i_19,p,ind,523
7a,i_4,p,ind,502
7a,i_12,p,ind,540
7a,i_5,p,ind,504
7a,i_34,s,ind,621
7a,i_20,s,cor,618
7a,i_18,s,cor,486
7a,i_24,p,cor,481
7a,i_40,p,cor,521
7a,i_23,s,cor,481
7a,i_21,s,cor,461
7a,i_29,s,ind,436
7a,i_37,p,ind,494
7a,i_31,p,ind,493
7a,i_28,s,ind,367
7a,i_33,s,ind,726
7a,i_15,p,cor,548
7a,i_39,s,ind,531
7a,i_36,s,ind,458
7a,i_3,s,cor,516
8a,i_15,p,cor,1523
8a,i_23,s,cor,645
8a,i_9,p,cor,739
8a,i_24,p,cor,648
8a,i_37,p,ind,696
8a,i_8,p,cor,547
8a,i_21,s,cor,735
8a,i_14,p,cor,635
8a,i_29,s,ind,725
8a,i_18,s,cor,919
8a,i_12,p,ind,872
8a,i_40,p,cor,696
8a,i_41,s,cor,543
8a,i_39,s,ind,749
8a,i_2,p,ind,789
8a,i_20,s,cor,683
8a,i_33,s,ind,525
8a,i_31,p,ind,604
8a,i_5,p,ind,386
8a,i_36,s,ind,491
8a,i_4,p,ind,765
8a,i_17,s,cor,868
8a,i_27,s,ind,605
8a,i_19,p,ind,505
8a,i_28,s,ind,496
8a,i_34,s,ind,520
8a,i_3,s,cor,470
8a,i_42,p,cor,824
1b,i_13,s,cor,856
1b,i_7,s,cor,612
1b,i_14,s,ind,626
1b,i_9,s,ind,1762
1b,i_42,s,ind,491
1b,i_11,s,cor,437
1b,i_21,p,ind,346
1b,i_41,p,ind,345
1b,i_16,s,cor,365
1b,i_20,p,ind,377
1b,i_3,p,ind,420
1b,i_22,s,cor,360
1b,i_18,p,ind,335
1b,i_6,s,cor,355
1b,i_32,p,cor,343
1b,i_23,p,ind,333
1b,i_38,p,cor,421
1b,i_8,s,ind,333
1b,i_17,p,ind,983
1b,i_1,p,cor,357
1b,i_26,s,cor,407
1b,i_10,p,cor,488
1b,i_15,s,ind,312
1b,i_30,p,cor,411
1b,i_40,s,ind,439
1b,i_24,s,ind,620
1b,i_35,p,cor,453
1b,i_25,p,cor,449
2b,i_11,s,cor,526
2b,i_23,p,ind,598
2b,i_30,p,cor,772
2b,i_9,s,ind,504
2b,i_21,p,ind,610
2b,i_22,s,cor,485
2b,i_42,s,ind,1394
2b,i_10,p,cor,524
2b,i_32,p,cor,398
2b,i_13,s,cor,725
2b,i_8,s,ind,414
2b,i_26,s,cor,534
2b,i_38,p,cor,452
2b,i_6,s,cor,872
2b,i_18,p,ind,480
2b,i_7,s,cor,422
2b,i_16,s,cor,267
2b,i_14,s,ind,472
2b,i_41,p,ind,428
2b,i_20,p,ind,533
2b,i_17,p,ind,497
2b,i_3,p,ind,404
2b,i_24,s,ind,602
2b,i_15,s,ind,462
2b,i_1,p,cor,376
2b,i_40,s,ind,511
2b,i_35,p,cor,444
2b,i_25,p,cor,353
3b,i_16,s,cor,1591
3b,i_42,s,ind,488
3b,i_20,p,ind,733
3b,i_38,p,cor,885
3b,i_32,p,cor,750
3b,i_3,p,ind,657
3b,i_10,p,cor,945
3b,i_13,s,cor,670
3b,i_21,p,ind,788
3b,i_8,s,ind,554
3b,i_1,p,cor,596
3b,i_7,s,cor,520
3b,i_41,p,ind,462
3b,i_6,s,cor,507
3b,i_17,p,ind,563
3b,i_26,s,cor,569
3b,i_9,s,ind,446
3b,i_30,p,cor,686
3b,i_18,p,ind,405
3b,i_24,s,ind,917
3b,i_40,s,ind,446
3b,i_35,p,cor,695
3b,i_14,s,ind,569
3b,i_15,s,ind,644
3b,i_22,s,cor,340
3b,i_25,p,cor,553
3b,i_23,p,ind,431
3b,i_11,s,cor,631
4b,i_7,s,cor,1014
4b,i_42,s,ind,3847
4b,i_22,s,cor,625
4b,i_35,p,cor,508
4b,i_3,p,ind,582
4b,i_24,s,ind,1518
4b,i_17,p,ind,618
4b,i_8,s,ind,604
4b,i_41,p,ind,722
4b,i_14,s,ind,743
4b,i_21,p,ind,461
4b,i_9,s,ind,2450
4b,i_16,s,cor,586
4b,i_38,p,cor,621
4b,i_40,s,ind,825
4b,i_15,s,ind,697
4b,i_11,s,cor,399
4b,i_26,s,cor,1152
4b,i_20,p,ind,398
4b,i_30,p,cor,761
4b,i_6,s,cor,413
4b,i_1,p,cor,394
4b,i_23,p,ind,489
4b,i_13,s,cor,1207
4b,i_18,p,ind,729
4b,i_10,p,cor,521
4b,i_25,p,cor,461
4b,i_32,p,cor,365
6b,i_14,s,ind,646
6b,i_18,p,ind,511
6b,i_1,p,cor,1262
6b,i_25,p,cor,525
6b,i_32,p,cor,527
6b,i_8,s,ind,617
6b,i_40,s,ind,588
6b,i_7,s,cor,466
6b,i_30,p,cor,498
6b,i_23,p,ind,508
6b,i_21,p,ind,651
6b,i_17,p,ind,443
6b,i_11,s,cor,459
6b,i_22,s,cor,428
6b,i_16,s,cor,387
6b,i_13,s,cor,591
6b,i_38,p,cor,429
6b,i_3,p,ind,477
6b,i_15,s,ind,609
6b,i_20,p,ind,374
6b,i_24,s,ind,428
6b,i_41,p,ind,444
6b,i_26,s,cor,520
6b,i_10,p,cor,395
6b,i_9,s,ind,750
6b,i_6,s,cor,436
6b,i_42,s,ind,978
6b,i_35,p,cor,400
7b,i_6,s,cor,584
7b,i_40,s,ind,603
7b,i_38,p,cor,506
7b,i_8,s,ind,835
7b,i_35,p,cor,593
7b,i_18,p,ind,1022
7b,i_17,p,ind,515
7b,i_9,s,ind,537
7b,i_42,s,ind,664
7b,i_7,s,cor,487
7b,i_23,p,ind,641
7b,i_30,p,cor,432
7b,i_26,s,cor,486
7b,i_22,s,cor,515
7b,i_1,p,cor,533
7b,i_15,s,ind,553
7b,i_20,p,ind,1546
7b,i_41,p,ind,545
7b,i_3,p,ind,588
7b,i_14,s,ind,689
7b,i_11,s,cor,537
7b,i_25,p,cor,2352
7b,i_16,s,cor,799
7b,i_13,s,cor,1294
7b,i_21,p,ind,1794
7b,i_24,s,ind,763
7b,i_10,p,cor,477
7b,i_32,p,cor,368
8b,i_9,s,ind,565
8b,i_42,s,ind,638
8b,i_25,p,cor,1432
8b,i_16,s,cor,580
8b,i_23,p,ind,889
8b,i_22,s,cor,569
8b,i_40,s,ind,477
8b,i_3,p,ind,494
8b,i_32,p,cor,430
8b,i_18,p,ind,670
8b,i_8,s,ind,1078
8b,i_11,s,cor,359
8b,i_35,p,cor,477
8b,i_20,p,ind,662
8b,i_15,s,ind,657
8b,i_6,s,cor,438
8b,i_41,p,ind,535
8b,i_17,p,ind,353
8b,i_1,p,cor,692
8b,i_21,p,ind,620
8b,i_10,p,cor,448
8b,i_14,s,ind,521
8b,i_13,s,cor,575
8b,i_26,s,cor,533
8b,i_24,s,ind,530
8b,i_30,p,cor,461
8b,i_38,p,cor,500
8b,i_7,s,cor,524
1c,i_38,s,ind,528
1c,i_5,p,cor,424
1c,i_6,p,ind,532
1c,i_36,s,cor,524
1c,i_1,s,ind,1235
1c,i_19,p,cor,432
1c,i_4,p,cor,680
1c,i_34,s,cor,480
1c,i_7,p,ind,421
1c,i_25,s,ind,671
1c,i_12,p,cor,487
1c,i_31,p,cor,413
1c,i_27,s,cor,726
1c,i_29,s,cor,447
1c,i_16,p,ind,469
1c,i_13,p,ind,430
1c,i_35,s,ind,637
1c,i_39,s,cor,365
1c,i_2,p,cor,449
1c,i_32,s,ind,476
1c,i_26,p,ind,798
1c,i_33,s,cor,382
1c,i_11,p,ind,845
1c,i_28,s,cor,387
1c,i_22,p,ind,478
1c,i_37,p,cor,1986
1c,i_10,s,ind,397
1c,i_30,s,ind,643
2c,i_4,p,cor,720
2c,i_22,p,ind,809
2c,i_38,s,ind,571
2c,i_13,p,ind,1475
2c,i_1,s,ind,774
2c,i_28,s,cor,694
2c,i_11,p,ind,509
2c,i_37,p,cor,468
2c,i_26,p,ind,734
2c,i_19,p,cor,498
2c,i_39,s,cor,1066
2c,i_12,p,cor,1076
2c,i_6,p,ind,385
2c,i_25,s,ind,1636
2c,i_30,s,ind,782
2c,i_10,s,ind,472
2c,i_7,p,ind,512
2c,i_36,s,cor,819
2c,i_32,s,ind,515
2c,i_35,s,ind,594
2c,i_27,s,cor,508
2c,i_5,p,cor,519
2c,i_31,p,cor,541
2c,i_29,s,cor,767
2c,i_2,p,cor,680
2c,i_34,s,cor,704
2c,i_33,s,cor,1094
2c,i_16,p,ind,490
3c,i_1,s,ind,1441
3c,i_10,s,ind,1159
3c,i_4,p,cor,425
3c,i_11,p,ind,1009
3c,i_31,p,cor,383
3c,i_34,s,cor,535
3c,i_25,s,ind,611
3c,i_29,s,cor,339
3c,i_2,p,cor,369
3c,i_33,s,cor,510
3c,i_12,p,cor,373
3c,i_30,s,ind,730
3c,i_35,s,ind,718
3c,i_5,p,cor,513
3c,i_22,p,ind,435
3c,i_39,s,cor,403
3c,i_32,s,ind,735
3c,i_13,p,ind,548
3c,i_36,s,cor,291
3c,i_28,s,cor,545
3c,i_26,p,ind,454
3c,i_37,p,cor,621
3c,i_27,s,cor,592
3c,i_7,p,ind,292
3c,i_16,p,ind,408
3c,i_19,p,cor,289
3c,i_38,s,ind,570
3c,i_6,p,ind,691
4c,i_5,p,cor,417
4c,i_38,s,ind,168
4c,i_16,p,ind,479
4c,i_10,s,ind,871
4c,i_2,p,cor,610
4c,i_13,p,ind,435
4c,i_33,s,cor,325
4c,i_37,p,cor,336
4c,i_28,s,cor,434
4c,i_6,p,ind,554
4c,i_25,s,ind,539
4c,i_29,s,cor,473
4c,i_22,p,ind,419
4c,i_12,p,cor,370
4c,i_4,p,cor,325
4c,i_19,p,cor,333
4c,i_30,s,ind,391
4c,i_1,s,ind,925
4c,i_26,p,ind,497
4c,i_27,s,cor,473
4c,i_36,s,cor,365
4c,i_31,p,cor,422
4c,i_34,s,cor,235
4c,i_32,s,ind,305
4c,i_35,s,ind,317
4c,i_39,s,cor,438
4c,i_7,p,ind,396
4c,i_11,p,ind,729
6c,i_1,s,ind,536
6c,i_34,s,cor,530
6c,i_16,p,ind,657
6c,i_4,p,cor,508
6c,i_6,p,ind,353
6c,i_2,p,cor,945
6c,i_33,s,cor,425
6c,i_7,p,ind,453
6c,i_38,s,ind,673
6c,i_30,s,ind,288
6c,i_35,s,ind,387
6c,i_13,p,ind,288
6c,i_26,p,ind,755
6c,i_5,p,cor,292
6c,i_28,s,cor,331
6c,i_31,p,cor,1927
6c,i_19,p,cor,328
6c,i_22,p,ind,408
6c,i_32,s,ind,355
6c,i_11,p,ind,314
6c,i_29,s,cor,319
6c,i_10,s,ind,316
6c,i_12,p,cor,423
6c,i_27,s,cor,888
6c,i_36,s,cor,450
6c,i_25,s,ind,339
6c,i_37,p,cor,414
6c,i_39,s,cor,298
7b,i_12,p,cor,409
7b,i_1,s,ind,783
7b,i_16,p,ind,533
7b,i_39,s,cor,429
7b,i_10,s,ind,399
7b,i_4,p,cor,455
7b,i_22,p,ind,411
7b,i_29,s,cor,397
7b,i_37,p,cor,897
7b,i_26,p,ind,494
7b,i_7,p,ind,329
7b,i_38,s,ind,331
7b,i_2,p,cor,652
7b,i_35,s,ind,385
7b,i_25,s,ind,421
7b,i_34,s,cor,394
7b,i_19,p,cor,588
7b,i_28,s,cor,536
7b,i_30,s,ind,562
7b,i_27,s,cor,270
7b,i_32,s,ind,282
7b,i_5,p,cor,403
7b,i_33,s,cor,760
7b,i_6,p,ind,348
7b,i_36,s,cor,375
7b,i_11,p,ind,473
7b,i_31,p,cor,432
7b,i_13,p,ind,153
8c,i_10,s,ind,701
8c,i_26,p,ind,778
8c,i_2,p,cor,463
8c,i_28,s,cor,437
8c,i_6,p,ind,422
8c,i_1,s,ind,437
8c,i_30,s,ind,712
8c,i_25,s,ind,513
8c,i_7,p,ind,482
8c,i_32,s,ind,463
8c,i_36,s,cor,483
8c,i_22,p,ind,523
8c,i_27,s,cor,594
8c,i_29,s,cor,402
8c,i_19,p,cor,469
8c,i_12,p,cor,436
8c,i_11,p,ind,458
8c,i_16,p,ind,425
8c,i_39,s,cor,420
8c,i_5,p,cor,392
8c,i_33,s,cor,385
8c,i_38,s,ind,404
8c,i_35,s,ind,681
8c,i_37,p,cor,469
8c,i_4,p,cor,422
8c,i_31,p,cor,446
8c,i_13,p,ind,479
8c,i_34,s,cor,427
1d,i_28,p,ind,760
1d,i_29,p,ind,881
1d,i_12,s,ind,1319
1d,i_14,s,cor,1383
1d,i_17,p,cor,816
1d,i_3,p,cor,778
1d,i_23,p,cor,1030
1d,i_42,s,cor,1241
1d,i_8,s,cor,738
1d,i_19,s,ind,1671
1d,i_15,s,cor,679
1d,i_33,p,ind,721
1d,i_37,s,ind,1353
1d,i_39,p,ind,1024
1d,i_4,s,ind,1341
1d,i_5,s,ind,739
1d,i_9,s,cor,835
1d,i_34,p,ind,2538
1d,i_40,s,cor,610
1d,i_27,p,ind,2255
1d,i_18,p,cor,1011
1d,i_31,s,ind,706
1d,i_24,s,cor,646
1d,i_2,s,ind,1025
1d,i_20,p,cor,702
1d,i_36,p,ind,681
1d,i_41,p,cor,940
1d,i_21,p,cor,679
2d,i_39,p,ind,683
2d,i_23,p,cor,504
2d,i_24,s,cor,661
2d,i_19,s,ind,508
2d,i_41,p,cor,565
2d,i_3,p,cor,633
2d,i_9,s,cor,477
2d,i_12,s,ind,1054
2d,i_14,s,cor,636
2d,i_28,p,ind,611
2d,i_37,s,ind,656
2d,i_15,s,cor,584
2d,i_42,s,cor,416
2d,i_5,s,ind,481
2d,i_31,s,ind,522
2d,i_2,s,ind,749
2d,i_40,s,cor,490
2d,i_18,p,cor,325
2d,i_29,p,ind,616
2d,i_17,p,cor,384
2d,i_33,p,ind,374
2d,i_27,p,ind,625
2d,i_36,p,ind,568
2d,i_21,p,cor,456
2d,i_4,s,ind,512
2d,i_8,s,cor,493
2d,i_34,p,ind,471
2d,i_20,p,cor,299
3d,i_9,s,cor,556
3d,i_27,p,ind,653
3d,i_41,p,cor,493
3d,i_42,s,cor,729
3d,i_4,s,ind,1976
3d,i_5,s,ind,1333
3d,i_34,p,ind,733
3d,i_40,s,cor,480
3d,i_19,s,ind,918
3d,i_20,p,cor,617
3d,i_23,p,cor,473
3d,i_33,p,ind,481
3d,i_21,p,cor,654
3d,i_24,s,cor,494
3d,i_39,p,ind,510
3d,i_28,p,ind,477
3d,i_29,p,ind,501
3d,i_37,s,ind,780
3d,i_36,p,ind,476
3d,i_2,s,ind,419
3d,i_31,s,ind,711
3d,i_17,p,cor,477
3d,i_3,p,cor,474
3d,i_8,s,cor,494
3d,i_18,p,cor,466
3d,i_15,s,cor,307
3d,i_14,s,cor,526
3d,i_12,s,ind,632
4d,i_41,p,cor,937
4d,i_19,s,ind,1189
4d,i_36,p,ind,843
4d,i_4,s,ind,857
4d,i_39,p,ind,1090
4d,i_31,s,ind,536
4d,i_20,p,cor,738
4d,i_17,p,cor,606
4d,i_27,p,ind,738
4d,i_34,p,ind,600
4d,i_40,s,cor,1037
4d,i_29,p,ind,664
4d,i_28,p,ind,1236
4d,i_21,p,cor,680
4d,i_24,s,cor,746
4d,i_37,s,ind,557
4d,i_5,s,ind,567
4d,i_23,p,cor,579
4d,i_3,p,cor,773
4d,i_2,s,ind,604
4d,i_42,s,cor,534
4d,i_14,s,cor,645
4d,i_9,s,cor,593
4d,i_8,s,cor,657
4d,i_15,s,cor,573
4d,i_18,p,cor,547
4d,i_33,p,ind,620
4d,i_12,s,ind,620
5d,i_23,p,cor,596
5d,i_8,s,cor,589
5d,i_36,p,ind,1107
5d,i_31,s,ind,1252
5d,i_34,p,ind,400
