ExperimentName,participante,Session,SessionDate,SessionTime,Cond,pronome,referencia,item,tt2,tt2.RT,tt3,tt3.RT,tt4,tt4.RT,tt5,tt5.RT,tt6,tt6.RT,tt7,tempo.pronome,tt8,tempo.adverbio,tt9,tt9.RT,tt10,tt10.RT,tt11,tt11.RT,tt12,tt12.RT,tt13,tt13.RT,tt14,tt14.RT,Comp
Lista1,1a,1,9/10/13,15:07:23,2,s,cor,i_17,+,557,Damião,774,estudava,582,física,574,todo dia,646,e ele,587,certamente,755,possuía,531,os melhores livros,653,e revistas,626,sobre o assunto,584,que mais,544,lhe interessava.,681,1863
Lista1,1a,1,9/10/13,15:07:23,2,s,cor,i_3,+,423,Fabrício,693,acabou,441,compondo,550,belas canções,543,e ele,617,claramente,527,lucrava,569,um bom dinheiro,561,com as composições,730,mais famosas,716,que tocavam bastante,782,na rádio.,733,2007
Lista1,1a,1,9/10/13,15:07:23,2,p,inf,i_25,Nas aulas de recuperação,1222,Verônica,483,não costumava,735,estudar,448,muito,413,e eles,541,naturalmente,518,tentavam,608,escolher,503,tópicos de estudo,754,que a motivassem,498,e melhorassem,1132,seu desempenho.,1230,1755
Lista1,1a,1,9/10/13,15:07:23,2,p,ind,i_19,+,435,Joelma,673,fazia,517,uma torta,607,bem gostosa,742,e eles,887,geralmente,562,vendiam,555,esse quitute,612,por um preço,955,bastante razoável,691,na doceria,678,onde ela trabalhava.,1194,2258
Lista1,1a,1,9/10/13,15:07:23,2,p,inf,i_10,Na loja onde trabalhava,1541,Solange,485,era,593,mais sincera,568,do que deveria,640,e eles,694,inclusive,633,viviam,511,enfrentando,761,problemas graves,650,por causa disso,719,e de sua falta,753,de educação.,657,2130
Lista1,1a,1,9/10/13,15:07:23,2,p,cor,i_40,+,633,Ângelo e Chico,1678,trabalhavam,569,como,593,secretários,648,e eles,509,geralmente,569,recebiam,497,várias ligações,668,de pessoas,560,muito importantes,681,ao longo,573,de todo o dia.,597,1909
Lista1,1a,1,9/10/13,15:07:23,2,s,cor,i_21,+,242,Maurício,632,ganhava,701,a vida,465,como repórter,557,e ele,502,com frequência,625,publicava,583,as matérias,495,mais importantes,586,com muito destaque,546,nas edições semanais,939,da revista.,596,1627
Lista1,1a,1,9/10/13,15:07:23,2,s,ind,i_36,+,445,Carina,794,tocava,505,flauta,516,sem muito empenho,1054,e ele,595,obviamente,538,estava,772,bastante descontente,916,com,654,aquela situação,755,nas apresentações,1011,da orquestra.,634,2325
Lista1,1a,1,9/10/13,15:07:23,2,s,ind,i_29,+,337,Talita,627,roncava,505,além,516,do aceitável,638,e ele,611,inclusive,490,chegava,470,a despertar,514,com aquela sinfonia,813,de roncos,603,na hospedagem,978,da vila.,570,1930
Lista1,1a,1,9/10/13,15:07:23,2,s,inf,i_6,Na vila onde morava,1119,Daniela,465,costumava,557,contar,375,muita vantagem,343,e ele,745,logicamente,890,estava,501,mais que acostumado,1120,a lidar,706,com tanta mentira,708,contada,471,todos os dias.,643,2534
